disaster_type,severity_score,affected_population,country,gdp_per_capita,infrastructure_density,casualties,economic_damage_million_usd
earthquake,0.633,7051,Haiti,1400,0.95,19,0.01
wildfire,0.643,61070,Bangladesh,2500,0.434,309,0.11
tornado,0.466,56099,Indonesia,4300,0.828,152,0.07
drought,0.514,66699,Nigeria,2100,0.299,226,0.06
volcano,0.266,99753,Haiti,1400,0.832,169,0.03
hurricane,0.833,13204,Turkey,9600,0.248,191,0.13
landslide,0.587,105994,Nepal,1200,0.473,461,0.03
flood,0.217,8364,USA,63000,0.96,2,0.07
tornado,0.642,95306,Brazil,8700,0.766,391,0.54
flood,0.364,37319,Australia,55000,0.47,18,0.93
wildfire,0.4,154259,Nepal,1200,0.732,445,0.07
tsunami,0.293,116783,Nigeria,2100,0.196,517,0.07
tornado,0.02,296,Brazil,8700,0.759,0,0.0
volcano,0.915,6401,Turkey,9600,0.851,9,0.22
drought,0.086,37332,Mexico,10000,0.566,22,0.04
tornado,0.609,27681,Indonesia,4300,0.384,57,0.03
landslide,0.375,7922,Australia,55000,0.725,3,0.16
wildfire,0.083,5729,Japan,40000,0.242,2,0.01
volcano,0.147,10490,Australia,55000,0.337,2,0.09
earthquake,0.293,95830,Pakistan,1500,0.781,86,0.05
landslide,0.155,42730,China,12500,0.989,14,0.06
landslide,0.369,12677,Bangladesh,2500,0.555,70,0.03
tsunami,0.058,50085,Nigeria,2100,0.252,8,0.0
volcano,0.539,111715,Nepal,1200,0.234,664,0.03
landslide,0.32,6182,Indonesia,4300,0.247,2,0.01
drought,0.761,5685,Nepal,1200,0.65,13,0.0
wildfire,0.413,60309,Mexico,10000,0.265,112,0.1
tsunami,0.564,35923,Indonesia,4300,0.817,164,0.12
tornado,0.193,39380,Brazil,8700,0.372,21,0.05
flood,0.062,38120,Turkey,9600,0.197,14,0.02
landslide,0.352,27905,Brazil,8700,0.985,54,0.15
flood,0.797,19376,Indonesia,4300,0.913,37,0.09
hurricane,0.68,21131,Indonesia,4300,0.262,54,0.14
volcano,0.789,50946,Japan,40000,0.681,28,6.15
tsunami,0.164,56572,Indonesia,4300,0.782,25,0.06
hurricane,0.663,20320,Turkey,9600,0.85,56,0.16
