disaster_type,current_area_km2,wind_speed,wind_direction,terrain_type,elevation_m,vegetation_density,days_active,predicted_area_km2
flood,18.37,20.6,339.7,urban,1506.2,0.068,20,29.67
wildfire,15.31,9.2,169.5,forested,1477.8,0.432,12,18.94
flood,17.12,29.6,56.6,forested,1497.1,0.926,21,33.89
wildfire,57.61,51.4,167.4,forested,1271.9,0.339,11,126.74
flood,11.03,35.8,236.3,hilly,1001.0,0.751,29,20.91
flood,22.15,18.6,220.5,flat,2352.0,0.459,16,34.84
flood,40.39,15.8,185.3,forested,1818.4,0.118,8,65.28
flood,81.12,0.0,212.9,coastal,1950.9,0.802,13,81.12
wildfire,47.76,22.5,203.4,mountainous,2060.3,0.081,7,47.76
flood,5.84,28.2,310.5,forested,1562.0,0.571,18,12.32
flood,21.49,18.7,38.6,forested,1195.6,0.162,28,36.01
wildfire,24.71,29.7,67.1,hilly,1107.6,0.393,25,32.31
flood,22.11,6.9,242.6,mountainous,2968.1,0.895,12,22.11
flood,144.38,47.1,328.5,flat,1054.4,0.795,29,480.45
wildfire,7.7,0.0,248.7,coastal,2754.6,0.742,27,7.7
flood,50.71,18.3,69.0,hilly,249.8,0.781,8,98.91
wildfire,5.37,23.7,165.6,flat,2710.1,0.764,3,5.37
wildfire,13.41,40.8,233.3,urban,1893.4,0.083,21,13.41
wildfire,34.63,32.2,67.8,hilly,2047.8,0.076,5,35.98
wildfire,3.06,42.6,140.4,urban,483.6,0.477,7,5.81
flood,1.39,13.2,38.2,hilly,124.7,0.919,9,2.26
flood,11.89,20.8,67.5,forested,1210.7,0.451,8,24.26
flood,6.05,14.3,104.3,urban,2521.6,0.557,22,8.97
flood,1.18,37.4,326.5,coastal,1802.6,0.704,28,2.47
flood,7.72,28.7,145.8,coastal,1565.6,0.035,9,10.98
wildfire,12.5,54.6,159.4,forested,1907.9,0.89,12,27.57
flood,106.51,45.3,356.6,forested,2998.2,0.743,25,336.52
wildfire,108.98,67.3,188.6,mountainous,2394.5,0.182,11,137.66
flood,34.19,18.4,18.1,urban,2904.5,0.105,13,46.19
flood,55.27,41.1,268.2,flat,2917.1,0.759,10,102.11
flood,85.75,11.8,32.1,urban,954.1,0.154,27,111.38
flood,47.07,24.1,0.5,flat,2486.0,0.452,22,93.97
wildfire,110.43,28.4,261.6,mountainous,340.7,0.377,22,161.17
flood,38.09,42.4,229.4,flat,1500.1,0.177,6,80.07
wildfire,18.67,8.1,256.3,flat,1420.1,0.06,14,19.13
wildfire,2.03,35.0,314.9,forested,1501.3,0.924,29,4.07
wildfire,25.81,36.6,341.2,urban,2176.0,0.55,9,25.81
wildfire,40.81,37.7,111.3,forested,39.6,0.353,22,84.73
wildfire,225.54,0.0,152.0,forested,2403.4,0.03,27,225.54
wildfire,3.21,17.7,184.2,hilly,1315.2,0.421,8,3.6
wildfire,60.97,25.3,198.9,urban,2550.8,0.227,27,60.97
flood,3.84,48.1,172.7,coastal,2519.4,0.188,13,7.28
wildfire,113.5,11.8,132.1,mountainous,2026.0,0.086,5,113.5
wildfire,24.29,13.1,99.4,coastal,1065.9,0.762,21,26.95
wildfire,20.76,40.2,342.4,urban,2224.3,0.484,27,21.11
flood,11.58,14.1,343.6,forested,1160.5,0.335,18,19.71
flood,36.57,20.7,85.0,hilly,2190.5,0.479,26,48.9
flood,5.73,17.1,156.9,coastal,13.9,0.731,7,8.75
wildfire,31.19,3.5,135.6,forested,315.8,0.54,14,45.29
wildfire,6.17,0.0,145.5,flat,1692.3,0.118,26,6.17
flood,114.24,28.9,73.4,hilly,1064.5,0.322,7,187.66
wildfire,126.85,51.2,235.7,hilly,185.6,0.247,10,288.74
wildfire,20.87,15.4,197.8,urban,2506.7,0.38,5,20.87
flood,52.08,17.2,351.2,coastal,807.4,0.685,20,91.05
flood,26.41,15.8,161.7,forested,445.6,0.69,11,52.2
flood,358.31,30.3,149.0,urban,205.8,0.877,7,643.45
wildfire,3.92,15.6,311.9,coastal,418.1,0.709,12,6.05
flood,77.82,28.1,6.7,urban,408.7,0.522,21,91.27
wildfire,1.18,3.4,63.4,flat,2925.4,0.817,8,1.18
wildfire,122.65,29.9,23.6,hilly,1105.1,0.591,24,203.94
flood,54.66,21.2,314.2,urban,20.8,0.671,7,98.2
wildfire,42.03,26.9,46.9,urban,1754.9,0.071,15,42.03
wildfire,92.91,34.4,184.8,hilly,1313.3,0.188,10,147.83
wildfire,5.85,24.9,102.5,urban,539.2,0.159,27,5.85
flood,1.12,43.2,319.8,forested,2581.5,0.065,13,2.66
wildfire,29.67,19.6,234.6,urban,2063.1,0.253,4,29.67
wildfire,79.68,29.2,238.1,coastal,209.7,0.776,11,136.34
flood,53.85,36.3,25.7,forested,1080.3,0.662,3,99.09
wildfire,166.93,17.3,136.2,urban,1341.6,0.101,22,166.93
flood,19.31,23.3,129.3,coastal,2644.5,0.457,20,26.05
flood,71.46,18.2,147.8,hilly,1965.9,0.553,24,115.75
flood,50.75,28.5,217.9,mountainous,1625.5,0.346,25,73.92
wildfire,115.12,52.4,340.9,coastal,562.4,0.554,20,309.72
flood,28.61,5.5,230.5,urban,2090.3,0.78,5,31.37
wildfire,6.41,32.7,326.3,forested,1042.9,0.978,28,13.33
flood,14.66,28.2,93.8,hilly,860.7,0.254,8,26.72
wildfire,175.12,0.0,100.4,hilly,1368.4,0.847,2,181.94
wildfire,50.84,5.4,207.6,forested,1765.8,0.827,12,58.02
wildfire,12.76,47.9,110.5,coastal,1443.8,0.691,16,25.95
wildfire,36.74,2.2,100.3,mountainous,2834.8,0.203,27,36.74
wildfire,18.41,27.6,356.7,coastal,2947.2,0.039,13,18.41
flood,66.16,0.7,21.8,urban,595.5,0.924,25,88.71
wildfire,118.15,13.7,181.5,coastal,956.5,0.308,18,132.57
wildfire,31.72,7.3,239.1,forested,1109.9,0.455,21,41.82
wildfire,30.39,23.4,62.3,urban,1746.2,0.967,22,39.72
wildfire,23.31,8.8,225.7,mountainous,51.7,0.686,4,28.21
wildfire,42.51,35.6,172.1,flat,2502.8,0.956,17,58.42
flood,50.57,9.3,96.4,coastal,2457.1,0.048,20,66.44
wildfire,28.72,15.5,27.6,urban,1073.3,0.035,22,28.72
wildfire,139.78,36.8,148.9,urban,2744.8,0.189,14,139.78
flood,24.25,29.6,31.6,mountainous,729.1,0.235,16,39.23
flood,16.03,38.5,284.6,mountainous,162.9,0.149,20,29.29
flood,14.32,21.8,327.6,flat,1325.2,0.732,21,32.78
wildfire,84.6,11.4,221.8,hilly,1227.1,0.773,27,120.69
wildfire,45.85,21.6,206.7,urban,1483.6,0.081,5,45.85
flood,10.3,10.4,230.2,hilly,1279.7,0.471,24,13.78
wildfire,4.58,8.4,40.9,flat,2194.3,0.266,16,4.58
flood,36.57,0.0,323.8,mountainous,2931.1,0.841,6,36.57
flood,12.45,28.0,285.3,hilly,2574.4,0.269,24,18.45
flood,16.89,34.0,130.2,coastal,2302.5,0.795,9,26.17
wildfire,9.64,18.4,348.0,coastal,1709.4,0.035,18,9.64
wildfire,47.67,0.0,18.1,flat,996.5,0.287,18,48.36
flood,32.75,18.8,115.6,coastal,1007.8,0.775,9,62.59
wildfire,17.62,28.1,72.1,hilly,1483.1,0.561,20,17.62
flood,9.39,48.8,87.8,flat,792.0,0.317,27,25.37
flood,5.54,13.6,254.5,flat,1487.2,0.452,28,10.27
flood,4.74,21.0,154.8,urban,1919.1,0.017,12,5.85
wildfire,12.5,11.4,175.2,flat,229.8,0.66,21,21.85
wildfire,15.9,42.4,303.4,coastal,879.9,0.389,28,35.66
wildfire,17.69,3.5,334.5,urban,1516.4,0.189,28,17.69
wildfire,155.74,20.3,13.8,urban,2654.5,0.483,13,155.74
